,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
abits:0/wbits:0,0.5736653804779053,0.5711177587509155,0.5710717439651489,0.573733925819397,0.5722915530204773,0.5754866600036621,0.5720164775848389,1.1396840810775757,1.1409578323364258,1.148536205291748,1.1412935256958008,1.1496539115905762,1.1424314975738525,2.291929244995117,2.2934818267822266,2.2940680980682373,2.295370101928711,2.2879960536956787
abits:0/wbits:1,0.5737099647521973,0.5710703134536743,0.5712563395500183,0.5734476447105408,0.5724867582321167,0.5763695240020752,0.5720655918121338,1.1399778127670288,1.1408348083496094,1.1486537456512451,1.140946388244629,1.1496105194091797,1.1418836116790771,2.2901859283447266,2.2926902770996094,2.297990322113037,2.2944297790527344,2.2881417274475098
abits:0/wbits:2,0.5732849836349487,0.571071982383728,0.5709201097488403,0.5735267400741577,0.572297990322113,0.5764063000679016,0.5725816488265991,1.1401057243347168,1.1401731967926025,1.1486668586730957,1.140856146812439,1.1501152515411377,1.1420187950134277,2.2929515838623047,2.2937731742858887,2.295933485031128,2.2944517135620117,2.2878880500793457
abits:0/wbits:3,0.5734618902206421,0.5712107419967651,0.5710554122924805,0.5732876062393188,0.5723316669464111,0.5762144327163696,0.5727179050445557,1.1396021842956543,1.1406773328781128,1.148153305053711,1.1414201259613037,1.1499567031860352,1.1418794393539429,2.2916054725646973,2.2935938835144043,2.295356273651123,2.293407917022705,2.287783145904541
abits:0/wbits:4,0.572837233543396,0.5711071491241455,0.5708023309707642,0.5732280015945435,0.5724804997444153,0.5760577917098999,0.572252094745636,1.139828085899353,1.141003131866455,1.1485834121704102,1.1407625675201416,1.1493864059448242,1.142560601234436,2.291124105453491,2.2929468154907227,2.295717239379883,2.294764995574951,2.2866952419281006
abits:0/wbits:5,0.5683257579803467,0.5711020231246948,0.5711549520492554,0.5738913416862488,0.5723270773887634,0.5761686563491821,0.5710867047309875,1.1396942138671875,1.1423707008361816,1.1481945514678955,1.1422760486602783,1.1496577262878418,1.1421661376953125,2.2885308265686035,2.2919459342956543,2.2951135635375977,2.294905662536621,2.316648483276367
abits:0/wbits:6,0.5246094465255737,0.5709649920463562,0.5717031955718994,0.5754307508468628,0.5718309879302979,0.5768008232116699,0.5715672969818115,1.1443812847137451,1.1429851055145264,1.1440926790237427,1.1430091857910156,1.1469612121582031,1.1426595449447632,2.2829480171203613,2.286407470703125,2.2961692810058594,2.287443161010742,2.2930071353912354
abits:0/wbits:7,0.5720081925392151,0.5714114308357239,0.5731629729270935,0.5716507434844971,0.5716277360916138,0.5750782489776611,0.5758774280548096,1.1459438800811768,1.141584873199463,1.1497507095336914,1.1486632823944092,1.14909029006958,1.1449077129364014,2.295886516571045,2.29595947265625,2.295847177505493,2.3097832202911377,1.118572473526001
abits:1/wbits:0,0.5729328989982605,0.5711467862129211,0.5709295272827148,0.5740049481391907,0.5722154378890991,0.5759032964706421,0.572700023651123,1.13942289352417,1.140950083732605,1.1487650871276855,1.1406440734863281,1.1499414443969727,1.1428945064544678,2.2928972244262695,2.2920122146606445,2.293426036834717,2.2953450679779053,2.2899744510650635
abits:1/wbits:1,0.573258638381958,0.5709783434867859,0.5711777210235596,0.5735818147659302,0.5724228024482727,0.5767086148262024,0.5722206234931946,1.1396676301956177,1.1408770084381104,1.1485936641693115,1.142029881477356,1.1494401693344116,1.1426228284835815,2.2930097579956055,2.292766571044922,2.296128749847412,2.295461893081665,2.2901363372802734
abits:1/wbits:2,0.5731825232505798,0.5712504982948303,0.5710108280181885,0.5734943151473999,0.5721160769462585,0.5765196084976196,0.5726087093353271,1.140272617340088,1.1408345699310303,1.1486165523529053,1.1418242454528809,1.1493879556655884,1.1427518129348755,2.2938833236694336,2.292006492614746,2.294642925262451,2.2957091331481934,2.2908549308776855
abits:1/wbits:3,0.5732721090316772,0.5711473226547241,0.5710597038269043,0.5734795331954956,0.5723849534988403,0.5765600800514221,0.5725486874580383,1.1402305364608765,1.1410481929779053,1.1487998962402344,1.1406588554382324,1.149784803390503,1.1426328420639038,2.2915828227996826,2.292825698852539,2.2952463626861572,2.2945451736450195,2.291628360748291
abits:1/wbits:4,0.5726237297058105,0.5712372660636902,0.5708438158035278,0.5737881660461426,0.5723764896392822,0.5763639211654663,0.5724445581436157,1.1406080722808838,1.1404454708099365,1.1490275859832764,1.1413201093673706,1.1502187252044678,1.1425678730010986,2.2919201850891113,2.2926580905914307,2.2951831817626953,2.294889211654663,2.2874374389648438
abits:1/wbits:5,0.5687066316604614,0.5710101127624512,0.5712975263595581,0.5740013122558594,0.5722135305404663,0.5764691829681396,0.5709607005119324,1.138970136642456,1.141829252243042,1.148292064666748,1.142183542251587,1.1500245332717896,1.1424670219421387,2.2892308235168457,2.291299343109131,2.294971466064453,2.2935824394226074,2.3206124305725098
